Date,Open,High,Low,Close,Adj Close,Volume
19-01-2010,7.440357,7.685357,7.401429,7.68,6.546569,730007600
20-01-2010,7.675357,7.698214,7.482143,7.561786,6.445801,612152800
21-01-2010,7.574286,7.618214,7.400357,7.431071,6.33438,608154400
22-01-2010,7.385,7.410714,7.041429,7.0625,6.020201,881767600
25-01-2010,7.2325,7.310714,7.149643,7.2525,6.182161,1065699600
26-01-2010,7.355357,7.6325,7.235,7.355,6.269532,1867110000
27-01-2010,7.3875,7.520714,7.126071,7.424286,6.328594,1722568400
28-01-2010,7.318929,7.339286,7.096429,7.1175,6.067084,1173502400
29-01-2010,7.181429,7.221429,6.794643,6.859286,5.846979,1245952400
01-02-2010,6.870357,7,6.832143,6.954643,5.928263,749876400
02-02-2010,6.996786,7.011429,6.906429,6.995,5.962664,698342400
03-02-2010,6.970357,7.15,6.943571,7.115357,6.065258,615328000
04-02-2010,7.026071,7.084643,6.841786,6.858929,5.846674,757652000
05-02-2010,6.879643,7,6.816071,6.980714,5.950485,850306800
08-02-2010,6.988929,7.067143,6.928571,6.932857,5.909691,478270800
09-02-2010,7.015,7.053571,6.955357,7.006786,5.972709,632886800
10-02-2010,6.996071,7.021429,6.937857,6.968571,5.940135,370361600
11-02-2010,6.96,7.133929,6.930714,7.095357,6.048209,550345600
12-02-2010,7.075357,7.201429,6.982143,7.156429,6.100267,655468800
16-02-2010,7.212143,7.274643,7.197143,7.264286,6.192207,543737600
17-02-2010,7.2925,7.296786,7.173571,7.233929,6.166331,436396800
18-02-2010,7.201071,7.281786,7.175714,7.2475,6.177898,422825200
19-02-2010,7.209286,7.257143,7.1825,7.2025,6.13954,415469600
22-02-2010,7.226429,7.232143,7.113929,7.157857,6.101485,390563600
23-02-2010,7.142857,7.190357,6.989643,7.037857,5.999195,575094800
24-02-2010,7.079643,7.194286,7.065714,7.166429,6.108791,460566400
25-02-2010,7.049286,7.245,7.031786,7.214286,6.149586,665126000
26-02-2010,7.227857,7.3275,7.214286,7.307857,6.229348,507460800
01-03-2010,7.348214,7.482143,7.3375,7.463929,6.362387,550093600
02-03-2010,7.4975,7.529643,7.419286,7.458929,6.358124,566546400
03-03-2010,7.462143,7.495357,7.426429,7.476071,6.372736,372052800
04-03-2010,7.474286,7.532857,7.451071,7.525357,6.414748,366041200
05-03-2010,7.676429,7.846429,7.665357,7.819643,6.665604,899620400
08-03-2010,7.8575,7.860357,7.794643,7.824286,6.669562,429889600
09-03-2010,7.796786,8.035714,7.781786,7.965,6.78951,920259200
10-03-2010,7.993929,8.052857,7.971429,8.03,6.844916,596218000
11-03-2010,7.996786,8.053571,7.975714,8.053571,6.865008,405700400
12-03-2010,8.120357,8.133214,8.0625,8.092857,6.898496,416323600
15-03-2010,8.049286,8.053571,7.866071,7.994286,6.814473,493502800
16-03-2010,8.006429,8.035,7.946786,8.016071,6.833042,446908000
17-03-2010,8.032143,8.0875,7.973929,8.004286,6.822996,450956800
18-03-2010,8.003571,8.035714,7.950357,8.023214,6.839133,342109600
19-03-2010,8.028214,8.044286,7.901071,7.9375,6.766067,559445600
22-03-2010,7.873929,8.071429,7.8625,8.026786,6.842176,456419600
23-03-2010,8.058571,8.170714,8.003571,8.155714,6.952076,602431200
24-03-2010,8.13,8.221429,8.125357,8.191786,6.982824,597780400
25-03-2010,8.247143,8.248929,8.080357,8.094643,6.900019,542284400
26-03-2010,8.176786,8.283929,8.1625,8.246429,7.029404,640875200
29-03-2010,8.321429,8.3525,8.272143,8.299643,7.074765,540744400
30-03-2010,8.45,8.481429,8.366071,8.423214,7.180099,527310000
31-03-2010,8.410357,8.450357,8.373571,8.392857,7.154221,430659600
01-04-2010,8.478929,8.526071,8.3125,8.4275,7.18375,603145200
05-04-2010,8.392143,8.518214,8.384643,8.5175,7.26047,684507600
06-04-2010,8.507143,8.58,8.464286,8.555,7.292434,447017200
07-04-2010,8.555357,8.64,8.523571,8.592857,7.324703,628502000
08-04-2010,8.587143,8.626429,8.501429,8.569643,7.304919,572989200
09-04-2010,8.6225,8.638929,8.587857,8.635357,7.360934,334182800
12-04-2010,8.65,8.681071,8.636071,8.653214,7.376153,333026400
13-04-2010,8.637857,8.671429,8.611071,8.658214,7.380415,306210800
14-04-2010,8.76,8.778929,8.716786,8.774643,7.479661,404076400
15-04-2010,8.777857,8.893929,8.768214,8.89,7.577995,376784800
16-04-2010,8.8775,8.969286,8.733929,8.835714,7.531722,750545600
19-04-2010,8.8225,8.853214,8.634643,8.823929,7.521674,566924400
20-04-2010,8.876429,8.901786,8.677143,8.735357,7.446174,738326400
21-04-2010,9.242857,9.294643,9.133214,9.257857,7.891562,982391200
22-04-2010,9.222857,9.526786,9.15,9.516786,8.112277,793424800
23-04-2010,9.571071,9.720714,9.535714,9.6725,8.245011,796955600
26-04-2010,9.71,9.730714,9.578214,9.625,8.204521,479068800
27-04-2010,9.545357,9.565714,9.304286,9.358571,7.977415,709343600
28-04-2010,9.401786,9.428571,9.1575,9.342857,7.964018,758402400
29-04-2010,9.393571,9.642857,9.3575,9.594286,8.17834,558840800
30-04-2010,9.618214,9.663214,9.321429,9.324643,7.948492,542463600
03-05-2010,9.422857,9.567143,9.388571,9.5125,8.108622,454342000
04-05-2010,9.388929,9.403214,9.169643,9.238571,7.875124,723819600
05-05-2010,9.036786,9.219286,8.883214,9.1425,7.793233,883103200
06-05-2010,9.065357,9.223214,7.116071,8.794643,7.496712,1285860800
07-05-2010,8.703929,8.806071,8.043214,8.423571,7.180402,1676018400
10-05-2010,8.9375,9.094643,8.876071,9.071071,7.732343,984306400
11-05-2010,8.994286,9.281786,8.946429,9.161429,7.809368,848906800
12-05-2010,9.258571,9.3975,9.239286,9.360357,7.978936,654379600
13-05-2010,9.400714,9.464286,9.157143,9.227143,7.865384,599712400
14-05-2010,9.112857,9.16,8.910714,9.065,7.727166,759362800
17-05-2010,9.096429,9.149286,8.846786,9.079286,7.739345,762834800
18-05-2010,9.177857,9.233929,8.937857,9.012857,7.682722,782678400
19-05-2010,8.910714,9.032857,8.744643,8.869286,7.560338,1025726800
20-05-2010,8.638571,8.708929,8.436071,8.491429,7.238246,1282915200
21-05-2010,8.315,8.732143,8.2625,8.654286,7.377069,1223891200
24-05-2010,8.831429,8.960714,8.795,8.812857,7.512237,754238800
25-05-2010,8.548214,8.812857,8.47,8.757857,7.465353,1048006400
26-05-2010,8.931429,9.004643,8.705357,8.718214,7.431561,850654000
27-05-2010,8.95,9.0675,8.896786,9.048214,7.71286,666282400
28-05-2010,9.263929,9.264286,9.048214,9.174286,7.820325,815614800
01-06-2010,9.274643,9.497857,9.248571,9.315357,7.940574,876472800
02-06-2010,9.447857,9.457143,9.2975,9.426786,8.035561,688548000
03-06-2010,9.470714,9.483929,9.300357,9.397143,8.010294,650106800
04-06-2010,9.221786,9.353571,9.093929,9.141429,7.792317,758304400
07-06-2010,9.224643,9.255357,8.948214,8.962143,7.639491,886942000
08-06-2010,9.044286,9.064286,8.773214,8.904643,7.590476,1000770400
09-06-2010,8.981071,8.996429,8.660357,8.685714,7.403857,854630000
10-06-2010,8.744286,8.963571,8.65,8.946786,7.626403,776356000
11-06-2010,8.865357,9.066429,8.834643,9.053929,7.717731,545759200
14-06-2010,9.141429,9.255357,9.071786,9.081429,7.741171,602960400
15-06-2010,9.13,9.280357,9.125,9.274643,7.905872,585074000
16-06-2010,9.325,9.5625,9.308214,9.544643,8.136025,783678000
17-06-2010,9.664286,9.746429,9.625,9.709643,8.276672,872855200
18-06-2010,9.723214,9.821429,9.693571,9.788214,8.343647,784621600
21-06-2010,9.9175,9.964643,9.5975,9.648929,8.224924,776490400
22-06-2010,9.72,9.856071,9.696429,9.780357,8.336947,717262000
23-06-2010,9.806429,9.809286,9.567857,9.6775,8.249276,768457200
24-06-2010,9.678571,9.757143,9.575,9.607143,8.1893,714277200
